C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	22	26	0	0.460177	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.778761	0	[0.00,0.00]	1	1	0.1		1	1		29	1	0.513274	2.02891	[0.26,15.62]	0.31672	1	0.1		0.908957	1		13	1	0.230088	4.79762	[0.60,38.60]	0.187337	1	0.1		0.979263	1		26	0	0.460177	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0353982	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.371681	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.672566	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.778761	1.30454	[0.17,9.92]	0.369309	1	0.1		0.818737	1		103	1	1.82301	0.522409	[0.07,3.92]	0.443495	1	0.1		0.296886	1		11	0	0.19469	0	[0.00,0.00]	1	1	0.1		1	1		
2	22	26	0	0.460177	0	[0.00,0.00]	1	1	0.1		1	1		44	2	0.778761	2.80714	[0.64,12.40]	0.141428	1	0.1		0.960165	1		29	0	0.513274	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.230088	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.460177	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0353982	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.371681	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.672566	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.778761	0	[0.00,0.00]	1	1	0.1		1	1		103	0	1.82301	0	[0.00,0.00]	1	1	0.1		1	1		11	0	0.19469	0	[0.00,0.00]	1	1	0.1		1	1		
3	35	26	0	0.7321	0	[0.00,0.00]	1	1	0.1		1	1		44	1	1.23894	0.796854	[0.11,5.96]	0.646022	1	0.1		0.367791	1		29	1	0.816573	1.2395	[0.16,9.38]	0.372124	1	0.1		0.804741	1		13	1	0.36605	2.93137	[0.37,23.19]	0.261957	1	0.1		0.950531	1		26	0	0.7321	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0563154	0	[0.00,0.00]	1	1	0.1		1	1		21	1	0.591311	1.74706	[0.23,13.40]	0.337935	1	0.1		0.884148	1		38	1	1.06999	0.930843	[0.12,6.98]	0.709467	1	0.1		0.377286	1		44	0	1.23894	0	[0.00,0.00]	1	1	0.1		1	1		103	1	2.90024	0.318916	[0.04,2.35]	0.197417	1	0.1		0.151069	1		11	0	0.309735	0	[0.00,0.00]	1	1	0.1		1	1		
4	73	26	6	1.52695	5.14925	[2.00,13.25]	0.00252008	1	0.1		0.999517	1		44	4	2.58407	1.63768	[0.57,4.71]	0.211656	1	0.1		0.823064	1		29	0	1.70314	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.763475	0	[0.00,0.00]	1	1	0.1		1	1		26	6	1.52695	5.14925	[2.00,13.25]	0.00252008	1	0.1		0.999517	1		2	0	0.117458	0	[0.00,0.00]	1	1	0.1		1	1		21	1	1.23331	0.798611	[0.11,6.04]	0.647592	1	0.1		0.370018	1		38	5	2.2317	2.53342	[0.96,6.70]	0.0464564	1	0.1		0.979498	1		44	4	2.58407	1.63768	[0.57,4.71]	0.211656	1	0.1		0.823064	1		103	15	6.04907	3.17986	[1.73,5.84]	0.000389224	1	0.1		0.999845	1		11	0	0.646018	0	[0.00,0.00]	1	1	0.1		1	1		
5	22	26	1	0.460177	2.2781	[0.29,17.61]	0.299191	1	0.1		0.924771	1		44	1	0.778761	1.30454	[0.17,9.92]	0.369309	1	0.1		0.818737	1		29	0	0.513274	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.230088	0	[0.00,0.00]	1	1	0.1		1	1		26	1	0.460177	2.2781	[0.29,17.61]	0.299191	1	0.1		0.924771	1		2	1	0.0353982	58.0952	[3.51,960.36]	0.0347997	1	0.1		0.999701	1		21	1	0.371681	2.85952	[0.37,22.31]	0.263571	1	0.1		0.948741	1		38	1	0.672566	1.52381	[0.20,11.63]	0.354511	1	0.1		0.856593	1		44	1	0.778761	1.30454	[0.17,9.92]	0.369309	1	0.1		0.818737	1		103	2	1.82301	1.10891	[0.26,4.81]	0.430507	1	0.1		0.580784	1		11	1	0.19469	5.76667	[0.71,47.11]	0.164064	1	0.1		0.985061	1		
6	21	26	0	0.43926	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.743363	0	[0.00,0.00]	1	1	0.1		1	1		29	1	0.489944	2.13214	[0.28,16.45]	0.309413	1	0.1		0.916047	1		13	0	0.21963	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.43926	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0337892	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.354787	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.641995	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.743363	1.37093	[0.18,10.45]	0.36538	1	0.1		0.831594	1		103	3	1.74014	1.87	[0.54,6.46]	0.320501	1	0.1		0.750939	1		11	0	0.185841	0	[0.00,0.00]	1	1	0.1		1	1		
7	24	26	1	0.502011	2.07652	[0.27,15.99]	0.313156	1	0.1		0.912367	1		44	0	0.849558	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.559936	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.251006	0	[0.00,0.00]	1	1	0.1		1	1		26	1	0.502011	2.07652	[0.27,15.99]	0.313156	1	0.1		0.912367	1		2	0	0.0386163	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.405471	0	[0.00,0.00]	1	1	0.1		1	1		38	2	0.733709	2.98737	[0.68,13.19]	0.130796	1	0.1		0.965746	1		44	2	0.849558	2.54762	[0.58,11.19]	0.157549	1	0.1		0.950151	1		103	1	1.98874	0.47613	[0.06,3.56]	0.394912	1	0.1		0.272004	1		11	0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1		
8	16	26	1	0.334674	3.20533	[0.41,25.22]	0.246262	1	0.1		0.957816	1		44	2	0.566372	4.03061	[0.89,18.30]	0.0905836	1	0.1		0.983205	1		29	1	0.37329	2.85476	[0.36,22.37]	0.264636	1	0.1		0.948471	1		13	0	0.167337	0	[0.00,0.00]	1	1	0.1		1	1		26	1	0.334674	3.20533	[0.41,25.22]	0.246262	1	0.1		0.957816	1		2	0	0.0257442	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.270314	0	[0.00,0.00]	1	1	0.1		1	1		38	1	0.489139	2.14414	[0.28,16.66]	0.30994	1	0.1		0.916566	1		44	0	0.566372	0	[0.00,0.00]	1	1	0.1		1	1		103	1	1.32582	0.735294	[0.10,5.62]	0.612231	1	0.1		0.36385	1		11	0	0.141593	0	[0.00,0.00]	1	1	0.1		1	1		
9	18	26	1	0.376508	2.82353	[0.36,22.05]	0.265865	1	0.1		0.947571	1		44	0	0.637168	0	[0.00,0.00]	1	1	0.1		1	1		29	2	0.419952	5.5463	[1.21,25.33]	0.0564759	1	0.1		0.992633	1		13	0	0.188254	0	[0.00,0.00]	1	1	0.1		1	1		26	1	0.376508	2.82353	[0.36,22.05]	0.265865	1	0.1		0.947571	1		2	0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1		21	2	0.304103	7.93421	[1.70,36.95]	0.0324699	1	0.1		0.997116	1		38	2	0.550282	4.12847	[0.91,18.63]	0.0867487	1	0.1		0.98433	1		44	2	0.637168	3.52083	[0.78,15.81]	0.10772	1	0.1		0.976708	1		103	2	1.49155	1.39109	[0.32,6.14]	0.473822	1	0.1		0.609487	1		11	0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1		
10	58	26	2	1.21319	1.72768	[0.40,7.49]	0.227346	1	0.1		0.882764	1		44	3	2.0531	1.52195	[0.46,5.07]	0.310624	1	0.1		0.737485	1		29	2	1.35318	1.53175	[0.36,6.60]	0.492651	1	0.1		0.604322	1		13	1	0.606597	1.71491	[0.22,13.42]	0.344306	1	0.1		0.879943	1		26	2	1.21319	1.72768	[0.40,7.49]	0.227346	1	0.1		0.882764	1		2	0	0.0933226	0	[0.00,0.00]	1	1	0.1		1	1		21	2	0.979887	2.19173	[0.50,9.64]	0.185805	1	0.1		0.929436	1		38	2	1.77313	1.13988	[0.27,4.85]	0.436854	1	0.1		0.582347	1		44	1	2.0531	0.465932	[0.06,3.44]	0.380306	1	0.1		0.262735	1		103	2	4.80611	0.38331	[0.09,1.59]	0.124679	1	0.1		0.0865528	1		11	0	0.513274	0	[0.00,0.00]	1	1	0.1		1	1		
