C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	17	66	0	0.902655	0	[0.00,0.00]	1	1	0.1		1	1		69	1	0.943685	1.06434	[0.14,8.15]	0.757467	1	0.1		0.381171	1		209	4	2.85841	1.53246	[0.49,4.75]	0.366715	1	0.1		0.66578	1		111	3	1.5181	2.21825	[0.63,7.84]	0.130969	1	0.1		0.942346	1		66	0	0.902655	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.533387	0	[0.00,0.00]	1	1	0.1		1	1		80	2	1.09413	1.96239	[0.44,8.73]	0.209073	1	0.1		0.909137	1		109	3	1.49075	2.26415	[0.64,8.00]	0.127074	1	0.1		0.945509	1		79	0	1.08045	0	[0.00,0.00]	1	1	0.1		1	1		262	6	3.58327	2.06676	[0.76,5.64]	0.0973415	1	0.1		0.9351	1		71	2	0.971038	2.23575	[0.50,9.97]	0.184697	1	0.1		0.931766	1		
2	13	66	1	0.690265	1.49359	[0.19,11.66]	0.36107	1	0.1		0.851335	1		69	3	0.721641	5.29091	[1.42,19.68]	0.0271024	1	0.1		0.995747	1		209	1	2.18584	0.409455	[0.05,3.17]	0.329911	1	0.1		0.239735	1		111	1	1.1609	0.848485	[0.11,6.59]	0.674091	1	0.1		0.379521	1		66	1	0.690265	1.49359	[0.19,11.66]	0.36107	1	0.1		0.851335	1		39	0	0.407884	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.836685	0	[0.00,0.00]	1	1	0.1		1	1		109	1	1.13998	0.865741	[0.11,6.72]	0.682145	1	0.1		0.380701	1		79	2	0.826227	2.72255	[0.59,12.50]	0.153439	1	0.1		0.955498	1		262	5	2.74014	2.36625	[0.77,7.29]	0.125585	1	0.1		0.917344	1		71	0	0.742558	0	[0.00,0.00]	1	1	0.1		1	1		
3	13	66	1	0.690265	1.49359	[0.19,11.66]	0.36107	1	0.1		0.851335	1		69	0	0.721641	0	[0.00,0.00]	1	1	0.1		1	1		209	2	2.18584	0.898551	[0.20,4.08]	0.622374	1	0.1		0.292463	1		111	1	1.1609	0.848485	[0.11,6.59]	0.674091	1	0.1		0.379521	1		66	1	0.690265	1.49359	[0.19,11.66]	0.36107	1	0.1		0.851335	1		39	0	0.407884	0	[0.00,0.00]	1	1	0.1		1	1		80	1	0.836685	1.21414	[0.16,9.46]	0.378863	1	0.1		0.798162	1		109	0	1.13998	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.826227	0	[0.00,0.00]	1	1	0.1		1	1		262	2	2.74014	0.678322	[0.15,3.08]	0.461739	1	0.1		0.257146	1		71	0	0.742558	0	[0.00,0.00]	1	1	0.1		1	1		
4	15	66	0	0.79646	0	[0.00,0.00]	1	1	0.1		1	1		69	1	0.832663	1.21849	[0.16,9.40]	0.376932	1	0.1		0.799388	1		209	3	2.52212	1.24029	[0.35,4.43]	0.492053	1	0.1		0.51128	1		111	3	1.3395	2.59259	[0.72,9.33]	0.105358	1	0.1		0.962022	1		66	0	0.79646	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.470636	0	[0.00,0.00]	1	1	0.1		1	1		80	2	0.965406	2.26824	[0.50,10.23]	0.184066	1	0.1		0.933352	1		109	1	1.31537	0.740741	[0.10,5.69]	0.615853	1	0.1		0.365488	1		79	1	0.953339	1.05311	[0.14,8.11]	0.753888	1	0.1		0.382594	1		262	6	3.16171	2.53125	[0.89,7.18]	0.079698	1	0.1		0.94881	1		71	1	0.856798	1.18163	[0.15,9.12]	0.378659	1	0.1		0.790383	1		
5	3	66	0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.166533	0	[0.00,0.00]	1	1	0.1		1	1		209	1	0.504425	2.48077	[0.22,27.49]	0.349562	1	0.1		0.924917	1		111	0	0.2679	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.0941271	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.193081	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.263073	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.190668	0	[0.00,0.00]	1	1	0.1		1	1		262	0	0.632341	0	[0.00,0.00]	1	1	0.1		1	1		71	0	0.17136	0	[0.00,0.00]	1	1	0.1		1	1		
6	17	66	1	0.902655	1.11635	[0.15,8.55]	0.379894	1	0.1		0.772993	1		69	2	0.943685	2.30647	[0.52,10.29]	0.17891	1	0.1		0.936377	1		209	3	2.85841	1.06103	[0.30,3.73]	0.683156	1	0.1		0.247347	1		111	1	1.5181	0.634091	[0.08,4.83]	0.54271	1	0.1		0.341024	1		66	1	0.902655	1.11635	[0.15,8.55]	0.379894	1	0.1		0.772993	1		39	1	0.533387	1.95395	[0.25,15.12]	0.323434	1	0.1		0.90298	1		80	0	1.09413	0	[0.00,0.00]	1	1	0.1		1	1		109	4	1.49075	3.28498	[1.05,10.25]	0.0420556	1	0.1		0.987565	1		79	1	1.08045	0.919872	[0.12,7.03]	0.705291	1	0.1		0.380251	1		262	3	3.58327	0.800055	[0.23,2.81]	0.503503	1	0.1		0.232829	1		71	1	0.971038	1.03214	[0.13,7.90]	0.747069	1	0.1		0.381597	1		
7	22	66	4	1.16814	4.15412	[1.36,12.64]	0.0210013	1	0.1		0.995279	1		69	8	1.22124	10.8665	[4.39,26.89]	9.4845e-06	0.0355382	0.1	**	0.999999	1		209	4	3.69912	1.10136	[0.37,3.29]	0.471548	1	0.1		0.437614	1		111	2	1.9646	1.02018	[0.24,4.42]	0.687239	1	0.1		0.286256	1		66	4	1.16814	4.15412	[1.36,12.64]	0.0210013	1	0.1		0.995279	1		39	2	0.690265	3.2	[0.72,14.20]	0.120475	1	0.1		0.970889	1		80	4	1.41593	3.34795	[1.11,10.14]	0.0370973	1	0.1		0.989229	1		109	4	1.9292	2.3619	[0.78,7.11]	0.0825476	1	0.1		0.962847	1		79	5	1.39823	4.55882	[1.64,12.70]	0.00842627	1	0.1		0.998209	1		262	10	4.63717	3.20437	[1.37,7.50]	0.0113959	1	0.1		0.992526	1		71	1	1.25664	0.782993	[0.10,5.91]	0.638953	1	0.1		0.367875	1		
8	16	66	0	0.849558	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.888174	0	[0.00,0.00]	1	1	0.1		1	1		209	3	2.69027	1.14376	[0.32,4.05]	0.46552	1	0.1		0.503531	1		111	1	1.4288	0.67697	[0.09,5.17]	0.574318	1	0.1		0.352571	1		66	0	0.849558	0	[0.00,0.00]	1	1	0.1		1	1		39	1	0.502011	2.08596	[0.27,16.20]	0.314137	1	0.1		0.912708	1		80	2	1.02977	2.1044	[0.47,9.42]	0.196999	1	0.1		0.921661	1		109	3	1.40306	2.44049	[0.68,8.70]	0.114544	1	0.1		0.955405	1		79	4	1.01689	5.12	[1.61,16.26]	0.0130134	1	0.1		0.997706	1		262	7	3.37249	2.96471	[1.09,8.04]	0.0466787	1	0.1		0.968637	1		71	2	0.913918	2.39752	[0.53,10.76]	0.172678	1	0.1		0.941477	1		
9	7	66	2	0.371681	7.325	[1.39,38.49]	0.0447627	1	0.1		0.995704	1		69	1	0.388576	2.86275	[0.34,24.12]	0.276981	1	0.1		0.946782	1		209	1	1.17699	0.823718	[0.10,6.88]	0.665637	1	0.1		0.390938	1		111	0	0.625101	0	[0.00,0.00]	1	1	0.1		1	1		66	2	0.371681	7.325	[1.39,38.49]	0.0447627	1	0.1		0.995704	1		39	0	0.21963	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.450523	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.613837	0	[0.00,0.00]	1	1	0.1		1	1		79	1	0.444891	2.47436	[0.29,20.81]	0.301224	1	0.1		0.931997	1		262	3	1.47546	2.82915	[0.63,12.72]	0.127073	1	0.1		0.960544	1		71	0	0.399839	0	[0.00,0.00]	1	1	0.1		1	1		
10	11	66	1	0.584071	1.79538	[0.23,14.24]	0.340518	1	0.1		0.887881	1		69	1	0.610619	1.71176	[0.22,13.57]	0.346992	1	0.1		0.879138	1		209	2	1.84956	1.10038	[0.24,5.13]	0.722466	1	0.1		0.297978	1		111	2	0.982301	2.2895	[0.49,10.73]	0.189644	1	0.1		0.932684	1		66	1	0.584071	1.79538	[0.23,14.24]	0.340518	1	0.1		0.887881	1		39	1	0.345133	3.14211	[0.39,25.17]	0.25266	1	0.1		0.955866	1		80	1	0.707965	1.45949	[0.18,11.55]	0.366031	1	0.1		0.845615	1		109	1	0.964602	1.04074	[0.13,8.21]	0.74987	1	0.1		0.38704	1		79	1	0.699115	1.47949	[0.19,11.71]	0.364588	1	0.1		0.848748	1		262	3	2.31858	1.40878	[0.37,5.35]	0.523696	1	0.1		0.524928	1		71	0	0.628319	0	[0.00,0.00]	1	1	0.1		1	1		
